cat,bio1,bio12,CTI_1K,ELEV_1K,EVI_mask_1,EVIM_1K,M13RB1ALT,M13RB2ALT,M13RB3ALT,M13RB7ALT,NPP_Mean_1,RELIEF_1K,SLOPE_1K,lstday,lstnight,coords.x1,coords.x2
501,280,838,16.87347,284,1,2551,1474,3104,740,2633,824.71521,15,1,312,293,-2141767.65338695,796429.891742879
502,282,833,14.022396,259,1,2596,1457,3089,750,2644,1534.618164,16,1,313,293,-2148225.12032092,793634.85546366
503,283,832,13.355764,248,1,2572,1611,3346,770,2699,1518.702637,10,2,312,293,-2150788.52109571,791181.763354851
504,282,836,12.807676,274,1,2250,1763,3299,868,2910,1382.613281,15,1,313,293,-2158875.8498012,786081.529089823
505,279,776,13.68488,313,1,2563,1428,3058,716,2358,993.807312,10,1,312,293,-2120301.92491681,838801.290664584
506,280,842,13.163721,305,1,2322,1568,3078,781,2554,1689.177856,19,2,312,293,-2163198.78170687,780653.020428159
507,281,841,12.798988,279,1,2040,1663,3021,808,2925,1503.719482,13,1,314,293,-2157185.61991579,780129.194744463
508,281,846,17.022865,281,1,2348,1529,3038,775,2611,1789.186401,12,1,312,293,-2159684.57376305,771117.259425238
509,281,840,13.894554,278,1,2547,1610,3315,766,2552,1677.387573,11,0,313,293,-2168759.02525059,764601.062467531
510,281,852,13.921432,276,1,2492,1475,3048,758,2471,6052.45459,14,1,313,293,-2167511.53438554,757335.431338858
511,279,886,18.387083,303,1,2708,1474,3165,803,2555,1343.896362,15,0,312,293,-2160545.26284512,745763.88302146
512,277,902,16.879805,318,1,2540,1652,3310,858,2782,1925.304443,17,1,312,293,-2160901.89158756,739363.142419897
513,277,923,15.764321,335,1,2352,1387,2846,720,2534,1410.577026,12,1,312,293,-2160254.56882717,731726.560218769
514,277,925,17.855869,313,1,2623,1339,2941,731,2431,1501.35083,14,0,312,293,-2157415.4461553,729269.959880605
515,278,924,15.312682,317,1,2471,1323,2834,704,2406,1555.561035,12,0,312,293,-2157792.78888634,730503.268729128
516,281,740,13.094565,286,1,2501,1574,3229,785,2604,1323.88208,8,1,312,293,-2122995.18563018,846904.775313333
517,280,856,13.222707,296,1,2548,1363,2981,677,2275,1849.594238,19,1,312,293,-2156927.34453795,762654.276773259
518,283,849,15.81018,233,1,2140,1682,3120,824,2930,1594.874146,16,0,313,293,-2143725.62869136,769453.91545303
519,284,848,27.988842,224,1,2649,1323,2953,698,2341,1723.52478,8,0,313,293,-2141753.84033664,770453.20436588
520,284,898,14.027228,185,1,2781,1194,2856,652,2172,1954.460449,13,0,312,293,-2099815.95505357,727108.240703829
521,282,934,16.96134,227,1,2520,1267,2776,687,2279,1812.345947,18,1,312,294,-2117645.68751705,720167.957494633
522,283,937,13.254071,213,1,2583,1187,2714,659,2188,1679.8396,21,1,313,294,-2115373.98977772,717814.708675447
523,283,926,13.334081,226,1,2871,1189,2934,633,2093,2074.092041,10,1,311,293,-2138343.76077916,723224.130093039
524,286,885,14.033204,160,1,2695,972,2489,530,1670,25041.564453,4,0,311,293,-2039953.0285986,731627.577472805
525,286,886,13.812233,163,1,2493,972,2405,536,1789,54590.078125,9,0,312,293,-2044408.622245,728743.907303287
526,286,878,13.201407,164,1,2603,987,2476,544,1820,21117.294922,7,1,312,293,-2045768.44680545,734051.648704339
527,279,829,14.969356,307,1,2677,1274,2899,676,2290,1212.939575,7,0,311,293,-2117084.89796742,816258.281951026
528,286,880,17.954941,160,1,2736,971,2538,528,1732,32390.644531,5,1,311,293,-2043288.48239788,733944.898023021
529,283,870,13.088167,228,1,2877,1257,3010,668,2188,1893.447021,13,1,311,294,-2041178.58101469,754144.438689321
530,284,852,14.033204,201,1,2530,989,2435,548,1725,1319.937622,13,0,311,293,-2052556.89451951,763907.397334389
531,283,853,13.75861,221,1,2566,1002,2471,536,1704,1515.804321,12,1,313,293,-2062133.61845414,766716.070529191
532,283,846,13.508274,218,1,2603,934,2416,507,1623,1677.905518,13,1,313,293,-2067428.33845117,770681.935097196
533,282,872,12.747732,233,1,2886,951,2608,518,1839,52517.15625,71,6,311,295,-2013524.66032162,763422.705662232
